what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1432975502797
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1432975502823
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1432975502847
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1432975502893
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1432975502995
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1432975503048
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1432975503068
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1432975503095
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1432975503109
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1432975503136
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1432975503152
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1432975503172
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1432975503239
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1432975503281
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1432975503281
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1432975503322
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1432975503349
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1432975503350
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1432975503365
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1432975503387
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1432975503436
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1432975503465
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1432975503496
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1432975503531
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1432975503556
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1432975503585
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1432975503607
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1432975503607
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1432975503607
started,bundle,com.collabnet.subversion.merge,4.0.3,"com.collabnet.subversion.merge",1432975503607
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.core",1432975503625
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.ui",1432975503642
started,bundle,org.eclipse.mylyn.commons.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.core",1432975503642
started,bundle,org.eclipse.mylyn.commons.net,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.net",1432975503642
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.core",1432975503642
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.feed",1432975503643
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1432975503683
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1432975503720
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1432975503720
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1432975503751
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1432975503752
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1432975503765
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1432975503790
started,bundle,org.tigris.subversion.clientadapter,1.10.1,"org.tigris.subversion.clientadapter",1432975503790
started,bundle,org.tigris.subversion.subclipse.core,1.10.5,"org.tigris.subversion.subclipse.core",1432975503790
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1432975503790
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1432975503790
started,bundle,org.tigris.subversion.subclipse.ui,1.10.5,"org.tigris.subversion.subclipse.ui",1432975503816
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1432975503835
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1432975503835
os,sysinfo,,,"linux",1432975503838
arch,sysinfo,,,"x86_64",1432975503838
ws,sysinfo,,,"gtk",1432975503838
locale,sysinfo,,,"en_US",1432975503838
processors,sysinfo,,,"4",1432975503838
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432975503838
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1432975503838
java.specification.name,sysinfo,,,"Java Platform API Specification",1432975503838
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1432975503838
java.specification.version,sysinfo,,,"1.6",1432975503838
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1432975503838
java.version,sysinfo,,,"1.6.0_43",1432975503838
java.vm.info,sysinfo,,,"mixed mode",1432975503838
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1432975503838
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432975503838
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1432975503838
java.vm.specification.version,sysinfo,,,"1.0",1432975503838
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1432975503838
java.vm.version,sysinfo,,,"20.14-b01",1432975503838
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1432975503888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432975504574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432975506147
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1432975506686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432975509833
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432975524750
